Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Klamelia zhaopengi,1.9,1,1,1,,A New Triconodontan (Mammalia) from the Jurassic of China Minchen Chow and Thomas H. V. Rich,,,,
Kotatherium haldanei,,,,,,P. M. Datta. 1981. The first Jurassic mammal from India. Zoological Journal of the Linnean Society 73:307-312,"G.S.I. Type No. 19634, a tooth (right upper molar)",,,
Krebsotherium lusitanicum,,,,,,"T. Martin. 1999. Dryolestidae (Dryolestida, Mammalia) aus dem Oberen Jura von Portugal. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 550:1-119","Gui Mam 9/75, a mandible (left mandible with I2-4, C, P1-4, and M1-7. cant find paper.",,,
Krusatodon kirtlingtonensis,,,,,,,upper molars,,,
Kuehneodon barcasensis,1.374570447,1.103092784,1,1,Y IMAGE,"Gerhard Hahn; Renate Hahn (2001). Multituberculaten-Zähne aus dem Ober-Jura von Porto das Barcas (Portugal). , 74(4), 583–586. doi:10.1007/bf02988164 ","IPFUB Mare Barc 1, a tooth (left m1)",,,
Kuehneodon dietrichi,,,,,,"Gerhard Hahn (1977). Das coronoid der paulchoffatiidae (multituberculata; ober-jura). , 51(3-4), 246–253.         doi:10.1007/bf02986572     ","V.J. 4-155, a mandible (right mandible). There is an m1, but not reported and not measurable from image",,,
Kuehneodon guimarotensis,,,,,,,"V. J. 5-155, a mandible (right mandible). cant find specimen",,,
Kuehneodon simpsoni,,,,,,"Huttenlocker, Adam K.; Grossnickle, David M.; Kirkland, James I.; Schultz, Julia A.; Luo, Zhe-Xi (2018). Late-surviving stem mammal links the lowermost Cretaceous of North America and Gondwana. Nature, 558(7708), 108–112. doi:10.1038/s41586-018-0126-y ","V.J122-155, a partial skull (broken skull with both tooth rows). No lower jaw material",,,
Kuehneodon uniradiculatus,,,,,,,"V.J. 427-155, a mandible. Cant find specimen",,,
Kuehneon duchyense,,,,,,,upper molar,,,
Laolestes andresi,,,,,,"T. Martin. 1999. Dryolestidae (Dryolestida, Mammalia) aus dem Oberen Jura von Portugal. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 550:1-119","PP Mam 124/67, a tooth (left upper molar)",,,
Laolestes eminens,,,,,,,"AMNH 101125 has m1, but not pictured and no measurements found",,,
Laolestes goodrichi,,,,,,,no m1,,,
Laolestes oweni,,,,,,,upper teeth. Aka Melanodon oweni,,,
Liaotherium gracile,,,,,,,"Another fragmentary lower jaw with the broken last molar was reported from the Middle Jurassic
Jiulongshan Formation (= Haifanggou Formation) ",,,
Malutitetrapodiscus minimus,,,,,,,ichnofossil,,,
Malutitetrapodiscus saltator,,,,,,,ichnofossil,,,
Malutitetrapodiscus tenuis,,,,,,,ichnofossil,,,
Meketibolodon robustus,,,,,,,"V.J. 408-155, a mandible",,,
Meketichoffatia krausei,,,,,,G. Hahn. 1993. The systematic arrangement of the Paulchoffatiidae (Multituberculata) revisited. Geologica et Palaeontologica 27:201-214,cant find specimen,,,
Nakunodon paikasiensis,,,,,,"An amphidontid symmetrodont from the
Early Jurassic Kota Formation, India
P. YADAGIRI. 1985","The holotype, right upper molar only; G.S.I. Type No. SR/PAL/12.
Deposited in the Regional Palaeontological Laboratories, G.S.I. Hyderabad,
India.",,,
Nanolestes drescherae,,,,,,,"deciduous premolar identified by Lopatin and 
Averianov considered an m1 by Mammals from the Late Jurassic Qigu Formation
in the Southern Junggar Basin, Xinjiang, Northwest China. M1 missing from the dentary.
Thomas Martin & Alexander O. Averianov",,,
Nanolestes krusati,,,,,,,unidentified teeth,,,
Nanolestes mackennai,,,,,,,no m1,,,
Paceyodon davidi,,,,,,"New morganucodontans from an Early Jurassic fissure filling in Wales (United Kingdom)
WA Clemens. Palaeontology, 2011","large morganucodon, but no certain m1",,,
Paikasigudodon yadagirii,,,,,,,no m1,,,
Palaeoxonodon ooliticus,,,,,,"E. P. Freeman. 1976. Mammal teeth from the Forest Marble (Middle Jurassic) of Oxfordshire, England. Science 194(4269):1053-1055","FM/K8, a tooth",,,
Parachoffatia staphylos,,,,,,"G. Hahn and R. Hahn. 1998. Neue Beobachtungen an Plagiaulacoidea (Multituberculata) des Ober-Juras. 3. Der Bau der Molaren bei den Paulchoffatiidae. Berliner Geowissenschaftliche Abhandlungen, Reihe E 28:39-84","IPFUB st (m2)-1, a tooth (isolated left m2). ",,,
Paraeopentapodiscus intentus,,,,,,,ichnofossil,,,
Paraeopentapodiscus parvus,,,,,,,ichnofossil,,,
Paritatodon kermacki,,,,,, D. Sigogneau-Russell. 1998. Discovery of a Late Jurassic Chinese mammal in the Upper Bathonian of England. Comptes Rendus de l'Académie des Sciences de la Terre et des Planetes 327:571-576,"J. 612, a tooth (left lower molar). J. 226, right lower molar. ",,,
Paulchoffatia delgadoi,,,,,,,"V.J. 1-155, a mandible (left mandible). Cant find specimen",,,
Paurodon valens,1.1,0.75,,,,"A.O. Averianov and T. Martin. 2015. ONTOGENY AND TAXONOMY OF PAURODON VALENS (MAMMALIA, CLADOTHERIA) FROM THE UPPER JURASSIC MORRISON FORMATION OF USA",Measured from cast by authors,,,
Peraiocynodon major,,,,,,,no m1,,,
Phascolotherium bucklandi,,,,,,,probably has m1. cant find paper. Check phd images OUMNH,,,
Phascolotherium simpsoni,,,,,,P. M. Butler and D. Sigogneau-Russel. 2016. Diversity of triconodonts in the Middle Jurassic of Great Britain. Palaeontologia Polonica 67:35-65,"Holotype: M46115, a left lower molar. M46513, right lower molar; M46036, anterior half of a right lower molar;
M46503, right lower molar; M46440, right upper molar; M46762, right upper molar; M46538, left upper
molar; M46536, ?left upper molar. All referred specimens are from Old Cement Works Quarry, Kirtlington,
Oxfordshire, UK; late Bathonian.",,,
Pinheirodon pygmaeus,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 47 (holotype), and paratypes, a tooth (left m2).",,,
Pinheirodon vastus,,,,,,G. Hahn and R. Hahn. 1999. Pinheirodontidae n. fam. (Multituberculata) (Mammalia) aus der tiefen Unter-Kreide Portugals. Palaeontographica Abteilung A 253(4-6):77-222,"PP MULT 75 (holotype), and paratypes, a tooth (right m2)",,,
Plesiochoffatia thoas,,,,,,"G. Hahn and R. Hahn. 1998. Neue Beobachtungen an Plagiaulacoidea (Multituberculata) des Ober-Juras. 3. Der Bau der Molaren bei den Paulchoffatiidae. Berliner Geowissenschaftliche Abhandlungen, Reihe E 28:39-84","IPFUB th (m2)-1, a tooth (isolated left m2)",,,
Portopinheirodon asymmetricus,,,,,,"T. Martin. 1999. Dryolestidae (Dryolestida, Mammalia) aus dem Oberen Jura von Portugal. Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft 550:1-119","PP Mam 141/68, a tooth (right upper middle molar).",,,
Priacodon ferox,2.1,,,,,"O. C. Marsh. 1880. Notice of new Jurassic mammals representing two new orders. The American Journal of Science and Arts, series 3 20(28):235-239"," YPM 606, a mandible (right mandible with P1-3, M1-3 and additional aveoli",,,
Priacodon fruitaensis,1.9,,,,,A New Species of Triconodont Mammal from the Upper Jurassic of Colorado. T. E. Rasmussen and George Callison 1981.,On slab. No width available,,,
Priacodon grandaevus,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia 1. American triconodonts: part 2. American Journal of Science, series 5 10:334-358","YPM 10349, a maxilla (part of left maxilla and jugal with crowns of the first three molars and alveoli for the last molar and the last premolar",,,
Priacodon lulli,,,,,,"G. G. Simpson. 1925. Mesozoic Mammalia 1. American triconodonts: part 2. American Journal of Science, series 5 10:334-358","YPM 13625, a maxilla (partial right maxilla with P3 and M1-4)",,,
Priacodon robustus,,,,,,,"YPM 11846, a mandible (left mandible). Cant find specimen",,,
Proalbionbaatar plagiocyrtus,,,,,,Neue Beobachtungen an Plagiaulacoidea (Multituberculata) des Ober-Juras. 4. Ein Vertreter der Albionbaataridae im Lusitanien Portugals,"IPFUB pl (m1)-1, a tooth (left m1).  m1 but cant find specimen - could be upper m1. see NEW MULTITUBERCULATE MAMMALS FROM THE
HAUTERIVIAN?BARREMIAN TRANSITION OF
EUROPE (IBERIAN PENINSULA)
by AINARA BADIOLA, JOSE´ I. CANUDO and GLORIA CUENCA-BESCO´ S",,,
Psalodon fortis,,,,,,"O. C. Marsh. 1887. American Jurassic mammals. The American Journal of Science, series 3 33(196):327-348","YPM 11760, an other (right premaxilla with I2-3 and alveolus for I1",,,
Psalodon marshi,,,,,,,not measurable,,,
Psalodon potens,,,,,,"O. C. Marsh. 1887. American Jurassic mammals. The American Journal of Science, series 3 33(196):327-348","YPM 11834, a maxilla (right upper jaw)",,,
Pseudobolodon dryas,,,,,,G. Hahn. 1977. Neue Schaedel-Reste von Multituberculaten (Mamm.) aus dem Malm Portugals. Geologica et Palaentologica 11:161-186," V.J. 399-155, a partial skull (skull in two pieces, one containing the right dentition, the other containing the petrosal). Cant find paper",,,
Pseudobolodon krebsi,,,,,,"G. Hahn and R. Hahn. 1994. Nachweis des Septomaxillare bei Pseudobolodon krebsi n. sp. (Multituberculata) aus dem Malm Portugals. Berliner Geowissenschaftliche Abhandlungen, Reihe E 13:9-29","V.J. 447-155, a partial skull. Cant find paper",,,
Pseudobolodon oreas,,,,,,,"V. J. 397-155, a maxilla (partial left maxilla with c-p5)",,,
Pseudotribos robustus,,,,,,"Z.-X. Luo, Q. Ji, and C.-X. Yuan. 2007. Convergent dental adaptations in pseudo-tribosphenic and tribosphenic mammals. Nature 450:93-97",on a slab,,,
Renatodon amalthea,,,,,,G. Hahn. 2001. Neue Beobachtungen an Schädelresten von Paulchoffatiidae (Multituberculata; Ober-Jura). Geologica et Palaeontologica 35:121-143,cant find paper,,,
Rugosodon eurasiaticus,,,,,,,partial m1,,,
Shenshou lui,2,1.632,1,1,Y IMAGE,"Bi, Shundong; Wang, Yuanqing; Guan, Jian; Sheng, Xia; Meng, Jin (2014). Three new Jurassic euharamiyidan species reinforce early divergence of mammals. Nature, 514(7524), 579–584. doi:10.1038/nature13718 ",,Y,,
Shuotherium dongi,1.274,0.843,,,,,,,,
Shuotherium shilongi,,,,,,"Y. Wang, W. A. Clemens, Y. Hu and C. Li. 1998. A probably pseudo-tribosphenic upper molar from the Late Jurassic of China and the early radiation of Holotheria","An isolated right upper molar, probably not the
most distal (IVPP catalog no. V7467).",,,
Simpsonodon oxfordensis,1.37,0.66,,,,"K. A. KERMACK; A. J. LEE; PATRICIA M. LEES; FRANCES MUSSETT (1987). A new docodont from the Forest Marble. , 89(1), 1–39. doi:10.1111/j.1096-3642.1987.tb01342.x ",Specimen J.232 probablz a right lower m1 ,Y,,
Sineleutherus issedonicus,,,,,,"A. O. Averianov, A. V. Lopatin, and S. A. Krasnolutskii. 2011. The first haramiyid (Mammalia, Allotheria) from the Jurassic of Russia. Doklady Biological Sciences 437:103-106",no m1,,,
Sineleutherus uyguricus,,,,,,,possible m1,,,
