Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Groebertherium stipanicici,,,,,,"Mammals from the Allen Formation, Late Cretaceous, Argentina 2009. Guillermo W. Rougier, Laura Chornogubsky, Silvio Casadio, Natalia Pae´z Arango, Andres Giallombardo",right upper molar,,,
Gypsonictops clemensi,,,,,,"The therian mammal fauna (campanian) of Quarry 1. Fossil Forrest study area, San Juan Basin, New Mexico. Rigby and Wolberg, 1987. in The Cretaceous-Tertiary Boundary in the San Juan and Raton Basins",m3 and P3,,,
Gypsonictops hypoconus,,,,,, G. G. Simpson. 1927. Mammalian Fauna of the Hell Creek Formation of Montana. American Museum Novitates 267:1-8,no m1 reported,,,
Hakusanobaatar matsuoi,,,,,,,no m1,,,
Hakusanodon archaeus,1.75,0.8,,,,"Rougier, Guillermo W., Isaji, Shinji, and Manabe, Makoto. 2007. AN EARLY CRETACEOUS MAMMAL FROM THE
KUWAJIMA FORMATION (TETORI GROUP), JAPAN, AND
A REASSESSMENT OF TRICONODONT PHYLOGEN",,,,
Hangjinia chowi,,,,,,"A new species of Gobiconodon (Triconodonta, Mammalia) and its implication for the age of Jehol Biota. LI Chuankui, WANG Yuanqing, HU Yaoming & MENG Jin 2003. ",lower jaw fragment with m2,,,
Hatcheritherium alpha,,,,,"“South American” Marsupials from the Late Cretaceous of North America and the Origin of Marsupial Cohorts. 2005. Judd A Case, Francisco J. Goin and Michael O. Woodburne","YPM 14912, an isolated right upper molar, probably an RM1",,,,
Heishanlestes changi,1.686666667,1.183333333,3,3,,"A New Spalacotheriid Symmetrodont from the Early Cretaceous of Northeastern China YAO-MING HU, RICHARD C. FOX, YUAN-QING WANG, AND CHUAN-KUI LI. 2005",,,,
Heishanobaatar triangulus,1.55,1.2,2,2,,"NAO KUSUHASHI , YAOMING HU , YUANQING WANG , TAKESHI
SETOGUCHI & HIROSHIGE MATSUOKA (2010) New multituberculate mammals from the Lower
Cretaceous (Shahai and Fuxin formations), northeastern China, Journal of Vertebrate Paleontology,
30:5, 1501-1514, DOI: 10.1080/02724634.2010.501435",,,,
Holoclemensia texana,1.94,1.3,,,,,,,,
Hoodootherium praeceps,,,,,,,no m1,,,
Hovurlestes noyon,1.75,1.05,1,1,,"A. V. Lopatin, and A. O. Averianov. 2017. A New Stem Placental Mammal
from the Early Cretaceous of Mongolia",,,,
Hydotherium dobsoni,,,,,,"Cretaceous mammal skulls from Mongolia. American Museum novitates; no. 225
WK Gregory, GG Simpson - 1926","AMNH 21702. Reported as Hyotheridium in Simpson 1927. PBDB has both names, with the same type specimen, but Hyotheridium has no occurrences. The two are not linked. There is an m1, but it isn't measured and no scale bar",,,
Hypomylos micros,,,,,,,"Paléobiodiversité, évolution et paléobiogéographie des vertébrés mésozoïques africains et gondwaniens : apport des gisements du Maroc oriental Maxime Lasseron",two right lower molars,,
Hypomylos phelizoni,,,,,,,unknown lower molar or pre,,,
Iberica hahni,,,,,,,upper teeth only,,,
Ichthyoconodon jaworowskorum,,,,,,,unknown lower molar,,,
Infernolestes rougieri,,,,,,,unknown lower molar,,,
Iqualadelphis lactea,,,,,,,upper jaw and teeth only,,,
Jeholodens jenkinsi,,,,,,,"not measurable, on slab",,,
Juchilestes liaoningensis,1.945,0.925,2,2,,"Chun-Ling Gao, Gregory P. Wilson, Zhe-Xi Luo, A. Murat Maga, Qingjin Meng and Xuri Wang. 2009. A new mammal skull from the Lower Cretaceous of China with implications for the evolution of obtuse-angled molars and ‘amphilestid’ eutriconodonts (sup. Mat.)",sample number (2) is left and right from one individual,,,
Jugulator amplissimus,,,,,,,unknown molars,,,
Kamptobaatar kuczynskii,1.8,1.1,1,1,,"ZOFIA KIELAN-JAWOROWSKA
NEW UPPER CRETACEOUS MULTITUBERCULATE GENERA FROM
BAYN DZAK, GOBI DESERT",,,,
Kemchugia magna,,,,,,,unknown molariformes,,,
Kennalestes gobiensis,1.65,1.05,1,1,,"ZOFIA KIELAN-JAWOROWSKA
PRELIMINARY DATA ON THE UPPER CRETACEOUS EUTHERIAN
MAMMALS FROM BAYN DZAK, GOBI DESERT",MgM-I/3,,,
Kermackia texana,,,,,,,unknown lower molar,,,
Kharmerungulatum vanvaleni,,,,,,,unknown m1 or m2,,,
Khorotherium yakutensis,,,,,,,left dentary fragment with the penultimate molariform,,,
Kielanobaatar badaohaoensis,,,,,,,no lower teeth,,,
Kielantherium gobiensis,1.415,0.745,2,2,,"Lopatin, A.V. and Averianov, A.O. 2007. Kielantherium, a basal tribosphenic mammal from the Early Cretaceous of
Mongolia, with new data on the aegialodontian dentition. Acta Palaeontologica Polonica 52 (3): 441–446.",paper refers to specimine by old name Kielantherium gobiense,,,
Kimbetohia campi,,,,,,,upper teeth only,,,
Kiyatherium cardiodens,1.8,0.9,3,3,,"A. V. Lopatina
, A. O. Averianovb
, E. N. Maschenkoa
, and S. V. Leshchinskiy. 2010. Early Cretaceous Mammals of Western Siberia:
3. Zhangheotheriidae",,,,
Kogaionon ungureanui,,,,,,,upper teeth I think,,,
Kokopellia juddi,2,0.950819672,1,1,Y IMAGE,"RICHARD L. CIFELLI. 1993. Early Cretaceous mammal from North America and the evolution of
marsupial dental characters","i4 c1 p3 m4 from Dentition and Jaw of Kokopellia juddi, a Primitive Marsupial or Near-Marsupial from the Medial Cretaceous of Utah. Richard L. Cifelli & Christian de Muizon (1997)",,,
Kollikodon ritchiei,,,,,,"A new family of monotremes feom the Creataceous of Australia
TF Flannery, M Archer, TH Rich, R Jones - Nature, 1995","m1 preserved, but no measurement presented",,,
Kouriogenys minor,1.15,0.54,1,1,,"DAVIS 2012. MICRO-COMPUTED TOMOGRAPHY REVEALS A
DIVERSITY OF PERAMURAN MAMMALS FROM THE
PURBECK GROUP (BERRIASIAN) OF ENGLAND",,,,
Kryoryctes cadburyi,,,,,,"A Tachyglossid-Like Humerus from the Early
Cretaceous of South-Eastern Australia 2005. Peter A. Pridmore, Thomas H. Rich, Pat Vickers-Rich,
and Petr P. Gambaryan",humerous,,,
Kryptobaatar dashzevegi,2.1,1.2,,,,"ZOFIA KIELAN-JAWOROWSKA
NEW UPPER CRETACEOUS MULTITUBERCULATE GENERA FROM
BAYN DZAK, GOBI DESERT",,,,
Kulbeckia kulbecke,,,,,,,upper teeth only,,,
Labes garimondi,1.26,1.5,1,1,,"Martin, Thomas; Buffetaut, Eric; Tong, Haiyan  (2015). A Late Cretaceous eutherian mammal from southwestern France. Paläontologische Zeitschrift, 89(3), 535–544. doi:10.1007/s12542-014-0231-7     ",,,,
Labes quintanillensis,,,,,,,,,,
Lactodens sheni,1.329,0.8015,2,2,,"Mao, F., Liu, C., and Meng, J. 2022. New material of the trechnotherian mammal Lactodens from the Early Cretaceous
Jehol Biota: Comparison with Origolestes and implications for mammal evolution. Acta Palaeontologica Polonica 67
(1): 135–153. and Han, Gang; Meng, Jin (2016). A new spalacolestine mammal from the Early Cretaceous Jehol Biota and implications for the morphology, phylogeny, and palaeobiology of Laurasian ‘symmetrodontans’. Zoological Journal of the Linnean Society, 178(2), 343–380. doi:10.1111/zoj.12416",only used left dentary measurements as right are reported as estimates.,,,
Lainodon orueetxebarriai,2.720930233,1.596899225,1,1,Y IMAGE,,Uncertain m1,Y,,
Lainodon ragei,,,,,,Addition to the Late Cretaceous Laño mammal faunule (Spain) and to the knowledge of European “Zhelestidae” (Lainodontinae nov.) EMMANUEL GHEERBRANT and HUMBERTO ASTIBIA. 2012,dp5,,,
Lakotalestes luoi,,,,,,,no m1,,,
Laolestes hodsoni,,,,,,W. A. Clemens and P. M. Lees. 1971. A review of English Early Cretaceous mammals. Zoological Journal of the Linnean Society 50(suppl. 1):117-130,cant find the paper,,,
Lavanify miolaka,,,,,,,unknown cheek teeth,,,
Lavocatia alfambrensis,,,,,,Two new mammalian teeth (Multituberculata and Peramura) from the Lower Cretaceous (Barremian) of Spain. Jose ? Ignacio Canudo and Gloria Cuenca-Besco ?s. 1996,type is isolated P5,,,
Leonardus cuspidatus,,,,,,"New remains of the dryolestoid mammal
Leonardus cuspidatus from the Los
Alamitos Formation (Late Cretaceous,
Argentina)
Laura Chornogubsky",only upper molars,,,
Leptalestes cooki,,,,,,"W. A. Clemens. 1966. Fossil mammals from the type Lance Formation, Wyoming. Part II. Marsupialia. University of California Publications in Geological Sciences 62:1-122",Cant find paper,,,
Leptalestes toevsi,1.7,0.98,1,1,,"John P. Hunter , Ronald E. Heinrich & David B. Weishampel (2010)
Mammals from the St. Mary River Formation (Upper Cretaceous), Montana, Journal of Vertebrate
Paleontology, 30:3, 885-898, DOI: 10.1080/02724631003763490",,,,
Liaobaatar changi,2.5,2,1,1,,"NAO KUSUHASHI , YAOMING HU , YUANQING WANG , TAKESHI
SETOGUCHI & HIROSHIGE MATSUOKA (2010) New multituberculate mammals from the Lower
Cretaceous (Shahai and Fuxin formations), northeastern China, Journal of Vertebrate Paleontology,
30:5, 1501-1514, DOI: 10.1080/02724634.2010.501435",,,,
Liaoconodon hui,,,,,,,cannot measure width due to fossilization on slab,,,
Litovoi tholocephalos,,,,,,,"An associated partial skeleton including much of the skull (partial
skull roof, complete braincase and ear region, right premaxilla
with incisors, left maxilla with complete cheek tooth row, and i1)
and postcranial elements (vertebrae, ribs, pelvic and limb bones)",,,
Lotheridium mengi,3.34,1.8,1,1,"Bi et al. (2015), A new Cretaceous Metatherian mammal from Henan, China. PeerJ 3:e896",,,,,
Loxaulax valdensis,,,,,,A. S. Woodward. 1911. On some mammalian teeth from the Wealden of Hastings. Quarterly Journal of the Geological Society 67:278-281,"broken isolated teeth. See also Sweetman, S.C. 2009. A new species of the plagiaulacoid multituberculate mammal Eobaatar from the Early Cretaceous
of southern Britain. Acta Palaeontologica Polonica 54 (3): 373–384. DOI: 10.4202/app.2008.0003.",,,
Maastrichtidelphys meurismeti,,,,,,,right upper M2,,,
Maelestes gobiensis,1.85,1.35,,,,"Wible, John R., ROUGIER, GUILLERMO W., NOVACEK, MICHAEL J., and Asher, Robert J. 2009. The Eutherian Mammal Maelestes gobiensis from the Late Cretaceous of Mongolia and the phylogeny of cretaceous eutheria",,,,
Magnimus ensomi,,,,,,"Sigogneau-Russell D. 1999. — Réévaluation des Peramura (Mammalia, Cladotheria) sur la
base de nouveaux spécimens du Crétacé inférieur d'Angleterre et du Maroc. Geodiversitas
21 (1) : 93-127. ","HOLOTYPE. — DORCM GS 627, molaire supérieure
droite : 1g = 1,27 mm ; la = 0,85 mm).
MATÉRIEL ATTRIBUÉ. — DORCM GS 332, molaire
inférieure droite : lg = 1,35 mm. ? DORCM GS 621,
molaire inférieure gauche : lg = 1,08 mm + ;
la = 0,62 mm. ",,,
Mangasbaatar udanii,10.03831418,5.900383142,1,1,Y IMAGE,"Rougier, G.W., Sheth, A.S., Spurlin, B.K., Bolortsetseg, M., and Novacek M.J. 2016. Cranio dental anatomy of a new Late Cretaceous multituberculate mammal from Udan Sayr,
Mongolia. Palaeontologia Polonica 67, 197–248.",,,,
Maotherium asiaticus,,,,,,"Evolutionary Developmentof the Middle Ear in MesozoicTherian Mammals. 2009. Qiang Ji, Zhe-Xi Luo, Xingliao Zhang, Chong-Xi Yuan, Li Xu",closed jaw so no m1 width measurement possible. M1 length would have been ,,,
Maotherium sinensis,1.5,,,,,"A New Symmetrodont Mammal with Fur Impressions
from the Mesozoic of China. 2003. ROUGIER ",no width measured. Hight is measured as 1.3,,,
Meemannodon lujiatunensis,5.33,2.9,1,1,,"A new triconodont (Mammalia) from the Early Cretaceous Yixian Formation of Liaoning, China. 2005. Jin Meng, Y.-M. Hu, Y.-Q. Wang, Conghong Li","holotype, IVPP V 13102",,,
Meiconodon lii,,,,,,,"not measurable, broken",,,
Meiconodon setoguchii,,,,,,,no m1,,,
Meniscoessus conquistus,,,,,,E. D. Cope. 1882. Mammalia in the Laramie Formation. The American Naturalist 16:830-831,perhaps 2 teeth and a humerus fragment,,,
Meniscoessus ferox,,,,,,,upper p4,,,
Mesodma primaeva,,,,,,L. M. Lambe. 1902. New genera and species from the Belly River Series (mid-Cretaceous). Geological Survey of Canada Contributions to Canadian Palaeontology 3(2):25-81,"cant find the original paper. P4 and P4 reported in Fossil Mammals from the ""Mesaverde"" Formation
(Late Cretaceous, Judithian) of the Bighom
and Wind River Basins, Wyoming, with
Definitions of Late Cretaceous
North American Land-Mammal ""Ages"" JASON A. LILLEGRAVEN AND MALCOLM C. McKENNA",,,
Mesungulatum houssayi,,,,,,,m1 looks broken,,,
Mesungulatum lamarquensis,,,,,,"Mammals from the Allen Formation, Late Cretaceous, Argentina Guillermo W. Rougier, Laura Chornogubsky, Silvio Casadio, Natalia Pae´z Arango, Andres Giallombardo. 2009",no m1,,,
Microderson laaroussii,,,,,,,upper molar,,,
Minimus richardfoxi,,,,,,"Sigogneau-Russell D. 1999. — Réévaluation des Peramura (Mammalia, Cladotheria) sur la
base de nouveaux spécimens du Crétacé inférieur d'Angleterre et du Maroc. Geodiversitas
21 (1) : 93-127. ","HOLOTYPE . — SA 122, molaire inférieure gauche ;
1g = 0,71 mm ; la = 0,55 mm.
MATÉRIEL ATTRIBUÉ. — SA 10, molaire inférieure
droite ; Ig = 0,72 mm ; la = 0,52 mm ; SA 64 molaire
inférieure gauche ; lg = 0,72 mm ; la = 0,43 mm. ",,,
Mistralestes arcensis,2.3,1.38,1,1,,"New eutherian mammals from the Late Cretaceous of Aix-en-Provence Basin, south-eastern France 
Rodolphe Tabuce, Thierry Tortosa, Monique Vianey-Liaud, Géraldine Garcia, Renaud Lebrun, Pascal Godefroit, Yves Dutour, Sévérine Berton, Xavier Valentin, Gilles Cheylan. 2013",,,,
Monobaatar mimicus,,,,,,,no m1,,,
Montanalestes keeblerorum,1.48,0.88,,,,,,,,
Mozomus shikamai,1.25,0.8,1,1,,"THE FIRST RECORD OF ""EUPANTOTHERIAN"" (THERIA,MAMMALIA) FROM THE LATE EARLY CRETACEOUS OF WESTERN LIAONING , CHINA 2005. Ll ChuanKui, Takeshi SETOGUCHI, WANG YuanQing, HU YaoMing, CHANG ZhengLu",,,,
Murtoilestes abramovi,,,,,,"A new genus of eutherian mammal from the Early
Cretaceous of Transbaikalia, Russia
ALEXANDER 0. AVERIANOV and PAVEL P. SKUTSCHAS 2001. ","ZIN 34993, right M1 and ZIN 34994, left m3",,,
Nanocuris improvida,,,,,,"A new, unusual therian mammal from the Upper Cretaceous of Saskatchewan, Canada Richard C. Fox, Craig S. Scott, Harold N. Bryant 2007.","m1 and m2 are broken, m3 complete",,,
Nemegtbaatar gobiensis,,,,,,Multituberculate Succession in the Late Cretaceuos of the Gobi Desert Mongolia. Z Kielan-Jaworowska. 1974,"measurable m1, but not from images. Check PhD jaw photos",,,
Neoplagiaulax burgessi,,,,,,,type is one left p4,,,
Nessovbaatar multicostatus,,,,,,"Djatochtatheria-a new suborder of multituberculate mammals
Z Kielan-Jaworowska, JH Hurum - Acta Palaeontologica Polonica, 1997",M1 measured but not reported,,,
Nidimys occultus,3.346666667,1.536666667,3,3,,"John P. Hunter , Ronald E. Heinrich & David B. Weishampel (2010)
Mammals from the St. Mary River Formation (Upper Cretaceous), Montana, Journal of Vertebrate
Paleontology, 30:3, 885-898, DOI: 10.1080/02724631003763490",,,,
Nortedelphys magnus,2.3,1.6,1,1,,"“South American” Marsupials from the Late Cretaceous of North America and the Origin of Marsupial Cohorts 2005. Judd A Case, Francisco J. Goin, and Michael O. Woodburne",UA 2846 From Lillegraven (1969),,,
Nortedelphys minimus,,,,,,"“South American” Marsupials from the Late Cretaceous of North America and the Origin of Marsupial Cohorts 2005. Judd A Case, Francisco J. Goin, and Michael O. Woodburne",no m1,,,
Oklatheridium minax,,,,,,"Davis, B.M. and Cifelli, R.L. 2011. Reappraisal of the tribosphenidan mammals from the Trinity Group (Aptian–Albian)
of Texas and Oklahoma. Acta Palaeontologica Polonica 56 (3): 441–462.",upper molars,,,
Oklatheridium szalayi,,1,,,,"Davis, Cifelli, Kielan-Jaworowska. Earliest Evidence of Deltatheroida
(Mammalia: Metatheria) from the Early
Cretaceous of North America. In E.J. Sargis and M. Dagosto (eds.), Mammalian Evolutionary
Morphology: A Tribute to Frederick S. Szalay, 3–24.
© Springer Science + Business Media B.V. 2008",no m1 length,,,
Oklatheridium wiblei,,,,,,,no m1 length,,,
Ortalestes tostak,,,,,,L. A. Nessov. 1997. Nemorskiye Pozvonochnyye Melovogo Perioda Severnoy Yevrazii [Cretaceous Non-Marine Vertebrates of Northern Eurasia] 1-218,Cant find paper,,,
Oxlestes grandis,,,,,,"New material of the Late Cretaceous deltatheroidan mammal Sulestes from
Uzbekistan and phylogenetic reassessment of the metatherian-eutherian dichotomy Alexander O. Averianova?, J. David Archibaldb and Eric G. Ekdalec","Oxlestes grandis Nessov, 1982, based on a large axis (CCMGE 6/11758) from the Sheikhdzheili local fauna",,,
Paleomolops langstoni,,,,,,,cant find specimen,,,
Paleoungulatum hooleyi,3.796,2.792,5,5,,"PRELIMINARY REPORT ON THE MAMMALS FROM LANE'S LITTLE JAW SITE
QUARRY: A LATEST CRETACEOUS (EARLIEST PUERCAN?) LOCAL FAUNA, HELL
CREEK FORMATION, SOUTHEASTERN MONTANA. Kelly. 2014",,,,
Pappotherium pattersoni,,,,,,,"OMNH 62417, LM2 lacking the protocone; OMNH
62433, the distobuccal corner of LM3; OMNH 67413, a fragmentary RM4; and OMNH 62427, Lmx preserving the trigonid only.",,,
Paracimexomys crossi,,,,,,"0klahoma Geological Survey Norman, 0klahoma
RL Cifelli - Oklahoma Geology Notes, 1997",p4,,,
Paracimexomys magnus,,,,,,"A. Sahni. 1972. The vertebrate fauna of the Judith River Formation, Montana. Bulletin of the American Museum of Natural History 147(6):321-412",cant find paper,,,
Paracimexomys propriscus,2.07,1.4,2,2,,"John P. Hunter , Ronald E. Heinrich & David B. Weishampel (2010)
Mammals from the St. Mary River Formation (Upper Cretaceous), Montana, Journal of Vertebrate
Paleontology, 30:3, 885-898, DOI: 10.1080/02724631003763490",,,,
Paranyctoides quadrans,,,,,,"Averianov, A.O. and Archibald, J.D. 2013. New material and reinterpretation of the Late Cretaceous eutherian mammal
Paranyctoides from Uzbekistan. Acta Palaeontologica Polonica 58 (1): 17–23.",unsure of m1 or m2. Measurements L = 1.6/1.8. W = 1.2/1.3,,,
Parazhelestes mynbulakensis,2.633802817,1.915492958,1,1,Y IMAGE,"J. DAVID ARCHIBALD and ALEXANDER AVERIANOV. 2010. Phylogenetic analysis, taxonomic revision, and dental
ontogeny of the Cretaceous Zhelestidae
(Mammalia: Eutheria)",,,,
Parazhelestes robustus,,,,,,,no m1,,,
Parendotherium herreroi,,,,,,,cant find mention of material,,,
Paressonodon nelsoni,,,,,,,maxilary fragment,,,
Pariadens mckennai,2.65,1.64,,,,,,,,
Passumys angelli,1.41,1.12,1,1,,"Cifelli, R.L., Davis, B.M., and Sames, B. 2014. Earliest Cretaceous mammals from the western United States. Acta Palaeontologica Polonica 59 (1): 31–52.",OMNH 64191,,,
Peraiocynodon inexpectatus,,,,,,G. G. Simpson. 1928. A Catalogue of the Mesozoic Mammalia in the Geological Department of the British Museum 1-215,,,,
Peramuroides tenuiscus,0.9,0.43,1,1,,"DAVIS 2012. MICRO-COMPUTED TOMOGRAPHY REVEALS A
DIVERSITY OF PERAMURAN MAMMALS FROM THE
PURBECK GROUP (BERRIASIAN) OF ENGLAND",,,,
Peramus dubius,1.07,0.5,3,3,,"DAVIS 2012. MICRO-COMPUTED TOMOGRAPHY REVEALS A
DIVERSITY OF PERAMURAN MAMMALS FROM THE
PURBECK GROUP (BERRIASIAN) OF ENGLAND",,,,
Peramus minor,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,Cant measure,,,
Peramus tenuirostris,1.22,0.515,2,2,,"DAVIS 2012. MICRO-COMPUTED TOMOGRAPHY REVEALS A
DIVERSITY OF PERAMURAN MAMMALS FROM THE
PURBECK GROUP (BERRIASIAN) OF ENGLAND",,,,
Peraspalax talpoides,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,Cant measure,,,
Phascolestes mustelula,,,,,,R. Owen. 1871. Monograph of the fossil Mammalia of the Mesozoic formations. 24(110):vi-115,"BMNH 47741, a mandible (partial left mandible) Cant find correct mandible",,,
Picopsis pattersoni,,,,,,,"2 teeth, unknown molar",,,
Plagiaulax becklesii,,,,,,,molar missing,,,
Potamotelses aquilensis,,,,,,,"Potamotelses aquilensis, described by Fox (1972)",,,
Prokennalestes minor,1.435483871,0.827419355,31,31,,A. V. Lopatin and A. O. Averianov. 2017. The Stem Placental Mammal Prokennalestes from the Early Cretaceous of Mongolia,,,,
Prokennalestes trofimovi,1.729310345,1.193103448,29,29,,A. V. Lopatin and A. O. Averianov. 2017. The Stem Placental Mammal Prokennalestes from the Early Cretaceous of Mongolia,,,,
Protalphadon foxi,,,,,,Z. Johanson. 1996. Revision of the Late Cretaceous North American marsupial genus Alphadon. Palaeontographica Abteilung A 242:127-184,Cant find paper,,,
Protalphadon lulli,,,,,,"W. A. Clemens. 1966. Fossil mammals from the type Lance Formation, Wyoming. Part II. Marsupialia. University of California Publications in Geological Sciences 62:1-122",cant find paper or any subsiquent m1s,,,
Protolambda mcgilli,,,,,"T. S. Kelly. 2014. Preliminary report on the mammals form Lane's Little Jaw Site Quarry: a latest Cretaceous (earliest Puercan?) local fauna, Hell Creek Formation, southeastern Montana. Paludicola 10(1):50-91",m2 and m3,,,,
Protungulatum coombsi,,,,,,"Protungulatum, Confirmed Cretaceous Occurrence
of an Otherwise Paleocene Eutherian (Placental?) Mammal
J. David Archibald & Yue Zhang & Tony Harper &
Richard L. Cifelli 2011. ","Holotype and only Known Specimen OMNH 64985, last left upper premolar",,,
Protungulatum gorgun,,,,,,"C. Lupton, D. Gabriel, and R. M. West. 1980. Paleobiology and depositional setting of a Late Cretaceous vertebrate locality, Hell Creek Formation, McCone County, Montana. Contributions to Geology, University of Wyoming 18(2):117-126",cant find paper,,,
Purbeckodon batei,,,,,,"P.M. Butler; D. Sigogneau-Russell; P.C. Ensom (2012). Possible persistence of the morganucodontans in the Lower Cretaceous Purbeck Limestone Group (Dorset, England). , 33(1), 0–145. doi:10.1016/j.cretres.2011.09.007 ",unidentified upper and lower molars,,,
Quirogatherium major,,,,,,,1990,,,
Reigitherium bunodontum,1.98,2.23,,,,A highly derived docodont from the Patagonian Late Cretaceous: evolutionary implications for Gondwanan mammals Rosendo PASCUAL Francisco J. GOIN,dentary with pm4-m2. scale bar in first image of paper incorrect.,,,
Repenomamus giganticus,7.5,4.7,,,,,,,,
Repenomamus robustus,,,,,,,no m1,,,
Sahnitherium rangapurensis,,,,,,,no m1,,,
Sangarotherium aquilonium,,,,,,"Averianov A, Martin T, Lopatin A, Skutschas P, Schellhorn R, Kolosov P, et al. (2018) A high-latitude fauna of mid-Mesozoic mammals from Yakutia, Russia. PLoS ONE 13(7): e0199983. https://doi.org/10.1371/journal.pone.0199983","PIN 5614/3, left dentary fragment with roots of the antepenultimate molariform tooth, the penulatimate molariform tooth, and the cryptic ultimate molariform tooth.",,,
Sasayamamylos kawaii,0.866666667,1.166666667,3,3,,"Kusuhashi N, Tsutsumi Y,Saegusa H, Horie K, Ikeda T, Yokoyama K,Shiraishi K. 2013 A new Early Cretaceouseutherian mammal from the Sasayama Group,Hyogo, Japan. Proc R Soc B 280: 20130142",,,,
Sazlestes tis,,,,,,L. A. Nessov. 1997. Nemorskiye Pozvonochnyye Melovogo Perioda Severnoy Yevrazii [Cretaceous Non-Marine Vertebrates of Northern Eurasia] 1-218,Cant find paper. Entered into PBDB by Roger B,,,
Schadipes crypticus,,,,,,,ichnofossil,,,
Scollardius propalaeoryctes,2.5,1.7,,,,"Lillegraven, J.A. 1969. Latest Cretaceous mammals of upper part of Edmonton
Formation of Alberta, Canada, and review of marsupial-placental dichotomy
in mammalian evolution. The University of Kansas Paleontological Contributions, 50: 1–122. doi:1808/3825.","measured as Cimolestes propalaeoryctes. See Fox, R. C. (2015). A revision of the Late Cretaceous–Paleocene eutherian mammal Cimolestes Marsh, 1889. for name change. Lillegraven table 17 figure 34, 4a-c",,,
Sederipes goddardensis,,,,,,,ichnofossil,,,
Shalbaatar bakht,,,,,,,no teeth,,,
Sheikhdzheilia rezvyii,0.8,1.1,1,1,,"Alexander Averianov, J. David Archibald. 2004. Mammals from the mid-Cretaceous Khodzhakul Formation,
Kyzylkum Desert, Uzbekistan",,,,
Sibirotherium rossicum,2,1.4,1,1,,"A. V. Lopatin, A. O. Averianov, E. N. Maschenko, and S. V. Leshchinskiy. 2009. Early Cretaceous Mammals of Western Siberia: 2. Tegotheriidae",,,,
Sinbadelphys schmidti,1.4,0.75,,,,,,,,
Sinobaatar fuxinensis,1.7,1.4,1,1,,"NAO KUSUHASHI , YAOMING HU , YUANQING WANG , TAKESHI
SETOGUCHI & HIROSHIGE MATSUOKA (2010) New multituberculate mammals from the Lower
Cretaceous (Shahai and Fuxin formations), northeastern China, Journal of Vertebrate Paleontology,
30:5, 1501-1514, DOI: 10.1080/02724634.2010.501435",,,,
Sinobaatar lingyuanensis,,,,,,,no m1,,,
Sinobaatar xiei,1.7,,,,,,no width,,,
Sinodelphys szalayi,,,,,,,no width because preserved on slab,,,
Sloanbaatar mirabilis,1.7,1,1,1,,"ZOFIA KIELAN-JAWOROWSKA
NEW UPPER CRETACEOUS MULTITUBERCULATE GENERA FROM
BAYN DZAK, GOBI DESERT",,,,
Sorlestes mifunensis,,,,,,"An early Late Cretaceous mammal from Japan, with reconsideration of the evolution of tribosphenic molars
T Setoguchi, T Tsubamoto, H Hanamura. 1999","m1 or m2. L = 2.6, W = 1.75",,,
Spalacolestes inconcinnus,,1.248,,,,"Cifelli et al, 1999. [PDF] Spalacotheriid symmetrodonts (Mammalia) from the medial Cretaceous (upper Albian or lower Cenomanian) Mussentuchit local fauna, Cedar Mountain",only width,,,
Spalacotheridium mckennai,,,,,,"Cifelli et al, 1999. [PDF] Spalacotheriid symmetrodonts (Mammalia) from the medial Cretaceous (upper Albian or lower Cenomanian) Mussentuchit local fauna, Cedar Mountain",only m2,,,
Spalacotherium evansae,,,,,,,unknown molars,,,
Spalacotherium henkeli,,,,,," B. Krebs. 1985. Theria (Mammalia) aus der UnterKreide von Galve (Provinz Teruel, Spanien). Berliner geowissenschaftliche, Abhandlungen A 60:29-48",cant find paper,,,
Spalacotherium hookeri,,,,,,,no m1,,,
Spalacotherium taylori,,,,,,,left lower molars,,,
Spalacotherium tricuspidens,,,,,,"New symmetrodonts (Mammalia, Theria) from the Purbeck Limestone Group, Lower Cretaceous, southern England P. Ensom and D. Sigogneau-Russell. 2000",BMNH 46019 unknown molars,,,
Spalacotheroides bridwelli,,,,,,,lower m4,,,
Spinolestes xenarthrosus,,,,,,,not possible to measure m1 due to position on slab,,,
Steropodon galmani,5,3.5,,,,,"First Mesozoic mammal from Australia—an early Cretaceous monotreme. M Archer, TF Flannery, A Ritchie, RE Molnar. Nature, 1985",Y,,
Sulestes karakshi,,,,,,,unknown if m1,,,
Sunnyodon notleyi,,,,,,,no m1,,,
Symmetrodontoides oligodontos,,,,,,Functional analysis of molars in “symmetrodontan” mammals. Thorsten Plogschties. 2019 Thesis,no m1,,,
Symmetrolestes parvus,0.67,0.78,,,,"Tsubamoto, T., Rougier, G.W., Isaji, S., Manabe, M., and Forasiepi, A.M. 2004. New Early Cretaceous spalacotheriid
“symmetrodont” mammal from Japan. Acta Palaeontologica Polonica 49 (3): 329–346",,,,
Tedoribaatar reini,,,,,,,no m1,,,
Teinolophos trusleri,,,,,,,nice dentary but m1 broken,,,
