Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Aralocricetodon schokensis,1.888571429,1.372857143,7,7,,"2017 Cricetidae (Rodentia, Mammalia) from the Oligocene of the Valley of Lakes (Mongolia): the genera Aralocricetodon, Eocricetodon, Bagacricetodon, Witenia and Paracricetodon Paloma López-Guerrero1 & Olivier Maridet2,3 & Gudrun Daxner-Höck1",,,,Asia
Aralotherium prohorovi,68.2,52,,,,"Shijie Li, Qigao Jiangzuo & Tao Deng (2022): Body mass of the giant rhinos (Paraceratheriinae, Mammalia) and its tendency in evolution, Historical Biology, DOI: 10.1080/08912963.2022.2095908",mean from unknown number of specimens,,,Asia
Aralotherium sui,81,55,1,1,,"Shijie Li, Qigao Jiangzuo & Tao Deng (2022): Body mass of the giant rhinos (Paraceratheriinae, Mammalia) and its tendency in evolution, Historical Biology, DOI: 10.1080/08912963.2022.2095908",Sup. Mat. Ye et al. (2003),,,Asia
Archaeolambda tabiensis,,,,,,X. Huang. 1977. Archaeolambda Fossils from Anhui. Vertebrata PalAsiatica 15(4):249-260,Can't find paper,,,Asia
Archaeolambda yangtzeensis,7.5,5.2,1,1,,"Early Tertiary mammals of Xuancheng Basin, Anhui Province and its Implication for the age of Shuangtasi Formation Huang and Zheng 1997",,,,Asia
Archaeomangus ulanhureensis,4.9,3,1,1,,"New Oligocene Didymoconidae (Mesonychia, Mammalia) from Mongolia and Kazakhstan A. V. Lopatin 1997",Archaeomangus ulanhurensis,,,Asia
Archaeomeryx optatus,5.8,,1,1,,"THE OSTEOLOGY AND RELATIONSHIPS OF ARCHAEOMERYX, AN ANCESTRAL RUMINANT' BY EDWIN H. COLBERT 1941",,,,Asia
Archaeoryctes borealis,3.5,2.1,1,1,,Meng 1990 A_new_species_of_Didymoconidae_and_comments_on_related_locality_and_stratigraphy,,,,Asia
Archaeoryctes euryalis,5.5,7.9,1,1,,Early Paleogene Insectivore Mammals of Asia and Establishment of the Major Groups of Insectivora A. V. Lopatin 2005,,,,Asia
Archaeoryctes wangi,5.48,2.116666667,2,2,,"A new species of Archaeoryctes from the Middle Paleocene of China and the phylogenetic diversification of Didymoconidae Pieter MISSIAEN, Floréal SOLÉ, Eric DE BAST, Jian YANG, Cheng-Sen LI & Thierry SMITH 2013",Combines Archaeoryctes borealis and Archaeoryctes euryalis. 2 is left and right of same specimen,,,Asia
Archetypomys erlianensi,0.853333333,0.746666667,9,9,,"A New Eocene Rodent from the Lower Arshanto Formation in the Nuhetingboerhe (Camp Margetts) Area, Inner Mongolia Authors: MENG, JIN, LI, CHUANKUI, NI, XIJUN, WANG, YUANQING, and BEARD, K. CHRISTOPHER 2007",Measured as Archetypomys erlianensis,,,Asia
Archicebus achilles,,,,,,"The oldest known primate skeleton and early haplorhine evolution Xijun Ni, Daniel L. Gebo, Marian Dagosto, Jin Meng, Paul Tafforeau, John J. Flynn & K. Christopher Beard 2013","m1 width not measurable, on slab",,,Asia
Ardynia altidentata,,,,,,"MAMMAL FOSSILS FROM YAGOU, LINXIA BASIN, GANSU, AND RELATED STRATIGRAPHIC PROBLEMS QIU Zhan2Xiang WANG Ban2Yue DENG Tao","m1, but not sure which is measured and reported",,,Asia
Ardynia kazachstanensis,17,13,1,1,,"Bai et al. 2018. The late Eocene hyracodontid perissodactyl Ardynia from Saint Jacques, Inner Mongolia, China and its implications for the potential Eocene–Oligocene boundary",,,,Asia
Ardynia mongoliensis,14.72,11.1,5,5,,"HYRACODONTIDS AND RHINOCEROTIDS (MAMMALIA, PERISSODACTYLA, RHINOCEROTOIDEA) FROM THE PALEOGENE OF MONGOLIA by Demberelyin DASHZEVEG",,,,Asia
Ardynia ordosensis,15.05,8.9,2,2,,"Bai et al. 2018. The late Eocene hyracodontid perissodactyl Ardynia from Saint Jacques, Inner Mongolia, China and its implications for the potential Eocene–Oligocene boundary",,,,Asia
Ardynia praecox,16.1,11.2,3,3,,"Bai et al. 2018. The late Eocene hyracodontid perissodactyl Ardynia from Saint Jacques, Inner Mongolia, China and its implications for the potential Eocene–Oligocene boundary",,,,Asia
Ardynictis captor,2.316666667,1.625,3,2,,Early Paleogene Insectivore Mammals of Asia and Establishment of the Major Groups of Insectivora A. V. Lopatin 2005,,,,Asia
Ardynictis furunculus,,,,,,W. D. Matthew and W. Granger. 1925. New Creodonts and Rodents from the Ardyn Obo Formation of Mongolia. American Museum Novitates 193:1-7,Can't find paper,,,Asia
Ardynictis zhaii,,,,,,"Y. Tong. 1997. Middle Eocene Small Mammals from Liguanqiao Basin of Henan Province and Yuanqu Basin of Shanxi Province, Central China. Palaeontologica Sinica, New Series C 26:1-256",single m2,,,Asia
Ardynomys chihi,,,,,,"NEW CREODONTS AND RODENTS FROM THE ARDYN OBO
FORMATION OF MONGOLIA'
BY W. D. MATTHEW AND WALTER GRANGER","m1 in complete jaw, but no scale bar",,,Asia
Ardynomys olseni,3.218333333,3.946666667,6,6,,"ARDYNOMYS (CYLINDRODONTIDAE, RODENTIA) FROM NEI MONGOL, CHINA WANG Ban Yue MENG Jin 2009",,,,Asia
Arfia langebadreae,6.4,3.5,1,1,,"A New Species of Arfia (Hyaenodontidae, Creodonta) from the Basal Eocene of Mongolia A. V. Lavrov and A. V. Lopatin 2004",,,,Asia
Arfia palustris,6.8,4,1,1,,Tong & Wang 2006 Fossil Mammals from the Early Eocene Wutu Formation of Shandong Province,Recombined from Anthracoxyaena palustris. Belongs to Arfia according to F. Solé et al. 2013,,,Asia
