Accepted.Name,mean.m1.length,mean.m1.width,overall.n.sampled.m1.length,overall.n.sampled.m1.width,measured.m1,ref,notes,Uncertain,alt.body.mass,continent
Palaeosinopa didelphoides,5.1,3.45,2,2,,Gazin 1962,Gazin 1962 (Cope; see also McKenna 1960),,,
Palaeosinopa incerta,4.6,3.2,1,1,,McKenna 1960,McKenna 1960 (Four Mile: see Bown and Schankler 1982),,,
Palaeosinopa lutreola,3.4,2.6,1,1,,Alroy 2000,Rose 1981 (SC-167),,,
Palaeosinopa veterrima,7.2,4.18,1,1,,Guthrie 1971,Guthrie 1971 (Lost Cabin),,,
Palaeosyops fontinalis,21.6,14.3,3,3,,Gunnell and Yarborough 2000,Gunnell and Yarborough 2000 (Bridger A),,,
Palaeosyops paludosus,25.4,17.05,26,26,,Gunnell and Yarborough 2000,Gunnell and Yarborough 2000 (Bridger B),,,
Palaeosyops robustus,27.85,18.9,28,28,,Gunnell and Yarborough 2000,Gunnell and Yarborough 2000 (Bridger C),,,US
Palenochtha minor,1.3239,0.969433333,6,6,,Simpson 1937,Simpson 1937a,,,
Palenochtha weissae,1.3,1,1,1,,Rigby 1980,Rigby 1980 (Swain Quarry),,,US
Paleotomus junior,3.05,1.875,2,2,,Scott et al. 2002,,,,CA
Pampatherium humboldtii,25.4,9.3,1,1,,James 1957,"mandible figured and described by Lund 1841, 1842",,,
Pandemonium dis,2.575,1.925,4,4,,Van Valen 1994,Van Valen 1994 (Purgatory Hill),,,US
Panthera leo,26,12.8,1,1,,Hibbard 1939,Hibbard 1939c (Cragin Quarry),,,
Panthera onca,22.75,11.71666667,7,7,,Simpson 1941,"Simpson 1941b (""P. onca augusta"": AMNH)",,,
Pantolambda cavirictus,16.5,13,1,1,,Lucas and O'Neill 1981,"Lucas and O'Neill 1981 (Kutz Canyon, new)",,,
Pantolambda intermedius,13.2,11.2,1,1,,Simpson 1935,Simpson 1935d (type: Gidley Quarry; repeated by Simpson 1937a),,,US
Pantolestes longieundus,5,3.6,1,1,,Emry 1990,Emry 1990 (Elderberry Canyon Quarry),,,US
Paracimexomys magister,2.8,1.6,1,1,,Fox 1971,Fox 1971a,,,
Paracimexomys perplexus,1.65,0.96,26,26,,Eaton and Cifelli 2001,Eaton and Cifelli 2001 (Mussentuchit),,,
Paracimexomys priscus,2.465,1.485,6,6,,Fox 1971,Fox 1971a (Lillegraven 1969),,,
Paracimexomys robisoni,1.905,1.17,7,7,,Eaton and Nelson 1991,Eaton and Nelson 1991,,,
Paracryptotis gidleyi,2.093333333,1.21,46,46,,Gazin 1933,"Gazin 1933a (type, Hagerman)",,,
Paracryptotis rex,2.39,1.455,25,25,,Hibbard and Bjork 1971,Hibbard and Bjork 1971 (Fox Canyon),,,US
Paracynarctus kelloggi,14.95,6.97,22,22,,Wang et al. 1999,Wang et al. 1999 (includes type and Tonopah and Virgin Valley material of Henshaw 1942),,,
Paracynarctus sinclairi,14.7,7.2,2,2,,Wang et al. 1999,Wang et al. 1999,,,
Paradaphoenus cuspigerus,9.3,5.2,1,1,,Hunt 2001,"Hunt 2001 (type, John Dayy Formation: remeasured from Stock 1932a)",,,
Paradaphoenus minimus,8.7,4.225,4,4,,Hunt 2001,Hunt 2001 (UNSM Sx-25),,,US
Paradaphoenus tooheyi,8.85,4.45,2,2,,Hunt 2001,Hunt 2001 (type: Wagner Quarry),,,US
Paradjidaumo alberti,1.3,1.1,1,1,,Russell 1954,Russell 1954 (type: Kishenehn),,,CA
Paradjidaumo hansonorum,1.37,1.35,1,1,,Russell 1972,Russell 1972 (type: Calf Creek; possible m2),,,
Paradjidaumo hypsodus,1.352,1.415,6,6,,Setoguchi 1978,Setoguchi 1978 (Cedar Ridge),,,US
Paradjidaumo reynoldsi,1.24,1.2,13,13,,Kelly 1992,Kelly 1992b (Simi Valley: m12),,,US
Paradjidaumo spokanensis,1.7,1.6,1,1,,White 1954,White 1954 (type: Canyon Ferry Reservoir),,,US
Paradjidaumo trilophus,1.5025,1.47875,151,151,,Matthew 1903,Matthew 1903a (Douglass 1901),,,
Paradjidaumo validus,1.65,1.81,1,1,,Korth 1980,Korth 1980b,,,
Paradomnina relictus,2.0875,1.14,3,3,,Hutchison 1966,Hutchison 1966 (type: UO 2495),,,US
Paraenhydrocyon josephi,14.735,6.215,16,16,,Wang 1994,Wang 1994,,,
Paraenhydrocyon robustus,15.8,6.7,3,3,,Wang 1994,"Wang 1994 (includes type of Matthew 1907, and presumably ""Mesocyon robustus"" material remeasured from Stock 1933e)",,,
Paraenhydrocyon wallovianus,20.21,8.72,5,5,,Stevens 1991,Stevens 1991 (type of Cook 1909),,,US
Parahippus cognatus,19.6,8,1,1,,Voorhies 1990,Voorhies 1990 (Norden Bridge Quarry),,,US
Parahippus leonensis,14.35,10.71,484,484,,Forsten 1975,Forsten 1975 (Garvin Gully: m12),,,US
Parahippus pawniensis,14.5,11.5,2,2,,Dingus 1990,Dingus 1990,,,
Parahyus vagus,19.3,13,1,1,,Gazin 1955,Gazin 1955,,,
Parallomys americanus,2.42835,2.31335,4,4,,Korth 1992,Korth 1992a (McCann Canyon: m12),,,US
Paramerychyus harrisonensis,13.8,11.3,13,13,,Stevens et al. 1969,Stevens et al. 1969 (TMM 40635: includes type),,,US
Paramiolabis taylori,17.4,11.5,1,1,,Kelly 1992,Kelly 1992 (Caliente Fm.),,,US
