Accepted.Name;mean.m1.length;mean.m1.width;overall.n.sampled.m1.length;overall.n.sampled.m1.width;measured.m1;ref;notes;Uncertain;alt.body.mass;continent
Aspanlestes aptap;2.19;3.07;8;8;;"Archibald, J. David, and Alexander Averianov. ""Phylogenetic analysis, taxonomic revision, and dental ontogeny of the Cretaceous Zhelestidae (Mammalia: Eutheria)."" Zoological Journal of the Linnean Society 164.2 (2012): 361-426.";;;;
Asterattus longicristatus;;;;;;;paper not found;;;
Atasorex edax;1.9;1.25;1;1;;"Lopatin, A. V. ""Early Miocene small mammals from the North Aral region (Kazakhstan) with special reference to their biostratigraphic significance."" (2004).";;;;
Atavocricetodon paaliense;1.13;0.77;1;1;;"Marivaux, Laurent, Monique Vianey-Liaud, and Jean-Loup Welcomme. ""Première découverte de Cricetidae (Rodentia, Mammalia) oligocènes dans le synclinal sud de Gandoï (Bugti Hills, Balouchistan, Pakistan)."" Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary Science 329.11 (1999): 839-844.";;;;
Atropatenocetus posteocenicus;;;;;;;paper not found;;;
Attockicetus praecursor;;;;;;"Cooper, Lisa Noelle, J. G. M. Thewissen, and S. T. Hussain. ""New middle eocene archaeocetes (Cetacea: Mammalia) from the Kuldana formation of northern Pakistan."" Journal of Vertebrate Paleontology 29.4 (2009): 1289-1299.";m1 not found;;;
Aulaxolophus quadrangularis;;;;;;;paper not availble on google scholar;;;
Avashishta bacharamensis;;;;;;;m1 not found;;;
Babiacetus indicus;;;;;;;paper not availble on google scholar;;;
Babiacetus mishrai;;;;;;;m1 not found;;;
Bahinia banyueae;;;;;;;m1 not found;;;
Bahinia pondaungensis;3.0;2.4;1;1;;"Jaeger, J-J., et al. ""A new primate from the middle Eocene of Myanmar and the Asian early origin of anthropoids."" Science 286.5439 (1999): 528-530.";;;;
Balochititanops haqi;18.1;11.7;3;3;;"Missiaen, Pieter, Gregg F. Gunnell, and Philip D. Gingerich. ""New Brontotheriidae (Mammalia, Perissodactyla) from the early and middle Eocene of Pakistan with implications for mammalian paleobiogeography."" Journal of Paleontology 85.4 (2011): 665-677.";;;;
Baluchimys barryi;;;;;;;paper not found;;;
Baluchimys chaudryi;;;;;;;paper not found;;;
Baluchimys ganeshapher;;;;;;;paper not found;;;
Baluchimys krabiense;;;;;;"Marivaux, Laurent, et al. ""A new baluchimyine rodent from the Late Eocene of the Krabi Basin (Thailand): palaeobiogeographic and biochronologic implications."" Comptes Rendus de l'Académie des Sciences-Series IIA-Earth and Planetary Science 331.6 (2000): 427-433.";m2 found not m1;;;
Baluchitherium osborni;;;;;;;m1 not found;;;
Barunlestes butleri;5.2;0.58;8;8;;"Fostowicz-Frelik, ?. U. C. J. A. ""A new zalambdalestid (Eutheria) from the Late Cretaceous of Mongolia and its implications for the origin of Glires."" Palaeontologia Polonica 67 (2016): 127-136.";;;;
Basalina basalensis;;;;;;;paper not availble on google scholar;;;
Basalomys ijlsti;;;;;;"KUMAR, Kishor, Rahul SRIVASTAVA, and Ashok SAHNI. ""MIDDLE EOCENE RODENTS FROM THE SUBATHU GROUP.""";m2 and m3 found not m1;;;
Basalomys lavocati;;;;;;;paper not availble on google scholar;;;
Basalomys vandermeuleni;1.79;1.53;16;16;;"KUMAR, Kishor, Rahul SRIVASTAVA, and Ashok SAHNI. ""MIDDLE EOCENE RODENTS FROM THE SUBATHU GROUP.""";;;;
Basilosaurus isis;;;;;;;m1 not found;;;
Basiloterus hussaini;;;;;;"Gingerich, Philip D., et al. ""Basilosaurus drazindai and Basiloterus hussaini, new Archaeoceti (Mammalia, Cetacea) from the middle Eocene Drazinda Formation, with a revised interpretation of ages of whale-bearing strata in the Kirthar Group of the Sulaiman Range, Punjab (Pakistan)."" (1997).";m1 not found;;;
Behemotops katsuiei;;;;;;;paper not availble on google scholar;;;
Bemalambda dingae;;;;;;;paper not availble on google scholar;;;
Bemalambda nanhsiungensis;;;;;;;paper not availble on google scholar;;;
Bemalambda pachyoesteus;;;;;;;paper not availble on google scholar;;;
Benaratherium callistrati;;;;;;;paper not found;;;
Bharatisiren indica;;;;;;;m1 not found;;;
Bharattherium bonapartei;;;;;;;paper not availble on google scholar;;;
Birbalomys ibrahimshahi;2.46;2.13;7;7;;"KUMAR, Kishor, Rahul SRIVASTAVA, and Ashok SAHNI. ""MIDDLE EOCENE RODENTS FROM THE SUBATHU GROUP.""";;;;
Birbalomys sondaari;2.26;2.3;21;21;;"KUMAR, Kishor, Rahul SRIVASTAVA, and Ashok SAHNI. ""MIDDLE EOCENE RODENTS FROM THE SUBATHU GROUP.""";;;;
Birbalomys woodi;2.39;2.13;19;19;;"KUMAR, Kishor, Rahul SRIVASTAVA, and Ashok SAHNI. ""MIDDLE EOCENE RODENTS FROM THE SUBATHU GROUP.""";;;;
Blentosomys dasikerkos;;;;;;;paper not found;;;
Bohlinosminthus cubitalus;0.95;0.70;30;30;;"Lopatin, A. V. ""New Early Miocene Zapodidae (Rodentia, Mammalia) from the Aral Formation of the Altynshokysu Locality (North Aral Region)."" PALEONTOLOGICAL JOURNAL C/C OF PALEONTOLOGICHESKII ZHURNAL 33 (1999): 429-438.";;;;
